"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"608","Set1/001a.jpg","78","image-keyboard-response","510","346554","0.0-3.0-1.253","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","511","347060","0.0-3.0-0.254","","fixation","","",""
"799","Set1/038a.jpg","78","image-keyboard-response","512","347859","0.0-3.0-1.254","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","513","348360","0.0-3.0-0.255","","fixation","","",""
"633","Set1/126a.jpg","78","image-keyboard-response","514","348994","0.0-3.0-1.255","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","515","349497","0.0-3.0-0.256","","fixation","","",""
"616","Set1/021a.jpg","78","image-keyboard-response","516","350114","0.0-3.0-1.256","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","517","350615","0.0-3.0-0.257","","fixation","","",""
"474","Set1/109a.jpg","78","image-keyboard-response","518","351091","0.0-3.0-1.257","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","519","351592","0.0-3.0-0.258","","fixation","","",""
"507","Set1/099a.jpg","78","image-keyboard-response","520","352099","0.0-3.0-1.258","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","521","352600","0.0-3.0-0.259","","fixation","","",""
"537","Set1/122a.jpg","78","image-keyboard-response","522","353139","0.0-3.0-1.259","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","523","353639","0.0-3.0-0.260","","fixation","","",""
"738","Set1/023a.jpg","79","image-keyboard-response","524","354378","0.0-3.0-1.260","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","525","354881","0.0-3.0-0.261","","fixation","","",""
"632","Set1/017a.jpg","78","image-keyboard-response","526","355514","0.0-3.0-1.261","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","527","356016","0.0-3.0-0.262","","fixation","","",""
"683","Set1/132a.jpg","78","image-keyboard-response","528","356699","0.0-3.0-1.262","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","529","357200","0.0-3.0-0.263","","fixation","","",""
