"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"1271","Set1/003a.jpg","79","image-keyboard-response","290","256548","0.0-3.0-1.143","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","291","257083","0.0-3.0-0.144","","fixation","","",""
"985","Set1/059a.jpg","79","image-keyboard-response","292","258076","0.0-3.0-1.144","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","293","258605","0.0-3.0-0.145","","fixation","","",""
"976","Set1/110a.jpg","79","image-keyboard-response","294","259588","0.0-3.0-1.145","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","295","260117","0.0-3.0-0.146","","fixation","","",""
"941","Set1/084a.jpg","78","image-keyboard-response","296","261066","0.0-3.0-1.146","","","Repeat","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","297","261594","0.0-3.0-0.147","","fixation","","",""
"1149","Set1/072a.jpg","78","image-keyboard-response","298","262749","0.0-3.0-1.147","","","Repeat","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","299","263272","0.0-3.0-0.148","","fixation","","",""
"1042","Set1/127a.jpg","78","image-keyboard-response","300","264318","0.0-3.0-1.148","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","301","264826","0.0-3.0-0.149","","fixation","","",""
"895","Set1/095a.jpg","78","image-keyboard-response","302","265725","0.0-3.0-1.149","","","Repeat","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","303","266260","0.0-3.0-0.150","","fixation","","",""
"829","Set1/013a.jpg","79","image-keyboard-response","304","267093","0.0-3.0-1.150","","","Set_1_Only","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","305","267622","0.0-3.0-0.151","","fixation","","",""
"801","Set1/067a.jpg","79","image-keyboard-response","306","268426","0.0-3.0-1.151","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","307","268966","0.0-3.0-0.152","","fixation","","",""
"741","Set1/157a.jpg","79","image-keyboard-response","308","269715","0.0-3.0-1.152","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","309","270235","0.0-3.0-0.153","","fixation","","",""
"1326","Set1/127a.jpg","78","image-keyboard-response","310","271566","0.0-3.0-1.153","","","Update","o","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","311","272095","0.0-3.0-0.154","","fixation","","",""
"1059","Set1/052a.jpg","79","image-keyboard-response","312","273169","0.0-3.0-1.154","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","313","273689","0.0-3.0-0.155","","fixation","","",""
"846","Set1/055a.jpg","79","image-keyboard-response","314","274542","0.0-3.0-1.155","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","315","275066","0.0-3.0-0.156","","fixation","","",""
"951","Set1/111a.jpg","79","image-keyboard-response","316","276025","0.0-3.0-1.156","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","317","276544","0.0-3.0-0.157","","fixation","","",""
"965","Set1/150a.jpg","79","image-keyboard-response","318","277519","0.0-3.0-1.157","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","319","278039","0.0-3.0-0.158","","fixation","","",""
"894","Set1/100a.jpg","79","image-keyboard-response","320","278940","0.0-3.0-1.158","","","Update","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","321","279462","0.0-3.0-0.159","","fixation","","",""
"1079","Set1/096a.jpg","79","image-keyboard-response","322","280547","0.0-3.0-1.159","","","Repeat","o","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","323","281077","0.0-3.0-0.160","","fixation","","",""
"973","Set1/159a.jpg","78","image-keyboard-response","324","282059","0.0-3.0-1.160","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","325","282586","0.0-3.0-0.161","","fixation","","",""
"969","Set1/074a.jpg","78","image-keyboard-response","326","283565","0.0-3.0-1.161","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","327","284099","0.0-3.0-0.162","","fixation","","",""
"1017","Set1/060a.jpg","78","image-keyboard-response","328","285125","0.0-3.0-1.162","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","329","285639","0.0-3.0-0.163","","fixation","","",""
"1043","Set1/062a.jpg","78","image-keyboard-response","330","286710","0.0-3.0-1.163","","","Repeat","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","331","287246","0.0-3.0-0.164","","fixation","","",""
"943","Set1/155a.jpg","78","image-keyboard-response","332","288199","0.0-3.0-1.164","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","333","288721","0.0-3.0-0.165","","fixation","","",""
"952","Set1/117a.jpg","78","image-keyboard-response","334","289678","0.0-3.0-1.165","","","Update","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","335","290202","0.0-3.0-0.166","","fixation","","",""
"865","Set1/004a.jpg","78","image-keyboard-response","336","291076","0.0-3.0-1.166","","","Set_1_Only","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","337","291602","0.0-3.0-0.167","","fixation","","",""
"889","Set1/097a.jpg","78","image-keyboard-response","338","292500","0.0-3.0-1.167","","","Update","n","true"
