"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","test_part","stim_type","correct_response","correct"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","33","73886","0.0-3.0-0.15","","fixation","","",""
"2071","a_b montage/ab_079.jpg","76","image-keyboard-response","34","75959","0.0-3.0-1.15","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","35","76459","0.0-3.0-0.16","","fixation","","",""
"2342","b_a montage/ba_176.jpg","78","image-keyboard-response","36","78803","0.0-3.0-1.16","","","Set_2_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","37","79304","0.0-3.0-0.17","","fixation","","",""
"1590","a_b montage/ab_017.jpg","76","image-keyboard-response","38","80896","0.0-3.0-1.17","","","Set_1_Only","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","39","81398","0.0-3.0-0.18","","fixation","","",""
"2330","a_b montage/ab_069.jpg","76","image-keyboard-response","40","83729","0.0-3.0-1.18","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","41","84231","0.0-3.0-0.19","","fixation","","",""
"2066","a_b montage/ab_100.jpg","76","image-keyboard-response","42","86298","0.0-3.0-1.19","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","43","86798","0.0-3.0-0.20","","fixation","","",""
"2344","a_b new/ab_001.jpg","78","image-keyboard-response","44","89144","0.0-3.0-1.20","","","Neither","n","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","45","89645","0.0-3.0-0.21","","fixation","","",""
"3219","b_a montage/ba_013.jpg","82","image-keyboard-response","46","92865","0.0-3.0-1.21","","","Set_1_Only","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","47","93366","0.0-3.0-0.22","","fixation","","",""
"2615","a_b montage/ab_066.jpg","76","image-keyboard-response","48","95986","0.0-3.0-1.22","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","49","96486","0.0-3.0-0.23","","fixation","","",""
"2159","b_a montage/ba_041.jpg","82","image-keyboard-response","50","98646","0.0-3.0-1.23","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","51","99147","0.0-3.0-0.24","","fixation","","",""
"2208","b_a montage/ba_043.jpg","66","image-keyboard-response","52","101357","0.0-3.0-1.24","","","Repeat","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","53","101858","0.0-3.0-0.25","","fixation","","",""
"3230","a_b montage/ab_080.jpg","76","image-keyboard-response","54","105089","0.0-3.0-1.25","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","55","105590","0.0-3.0-0.26","","fixation","","",""
"2413","a_b montage/ab_131.jpg","66","image-keyboard-response","56","108005","0.0-3.0-1.26","","","Update","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","57","108507","0.0-3.0-0.27","","fixation","","",""
"2539","a_b montage/ab_147.jpg","66","image-keyboard-response","58","111048","0.0-3.0-1.27","","","Update","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","59","111549","0.0-3.0-0.28","","fixation","","",""
"3062","b_a montage/ba_047.jpg","82","image-keyboard-response","60","114613","0.0-3.0-1.28","","","Repeat","r","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","61","115114","0.0-3.0-0.29","","fixation","","",""
"2314","b_a montage/ba_168.jpg","78","image-keyboard-response","62","117431","0.0-3.0-1.29","","","Set_2_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","63","117933","0.0-3.0-0.30","","fixation","","",""
"3118","a_b montage/ab_104.jpg","76","image-keyboard-response","64","121052","0.0-3.0-1.30","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","65","121554","0.0-3.0-0.31","","fixation","","",""
"2027","a_b montage/ab_159.jpg","76","image-keyboard-response","66","123583","0.0-3.0-1.31","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","67","124084","0.0-3.0-0.32","","fixation","","",""
"3335","a_b montage/ab_091.jpg","76","image-keyboard-response","68","127420","0.0-3.0-1.32","","","Repeat","l","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","69","127926","0.0-3.0-0.33","","fixation","","",""
"2071","a_b montage/ab_185.jpg","78","image-keyboard-response","70","129999","0.0-3.0-1.33","","","Set_2_Only","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","71","130500","0.0-3.0-0.34","","fixation","","",""
"3866","a_b montage/ab_107.jpg","66","image-keyboard-response","72","134368","0.0-3.0-1.34","","","Update","b","true"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","73","134868","0.0-3.0-0.35","","fixation","","",""
"1736","b_a montage/ba_163.jpg","78","image-keyboard-response","74","136606","0.0-3.0-1.35","","","Set_2_Only","r","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","75","137107","0.0-3.0-0.36","","fixation","","",""
"4237","a_b new/ab_011.jpg","82","image-keyboard-response","76","141345","0.0-3.0-1.36","","","Neither","n","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","77","141846","0.0-3.0-0.37","","fixation","","",""
"2363","a_b montage/ab_182.jpg","78","image-keyboard-response","78","144212","0.0-3.0-1.37","","","Set_2_Only","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","79","144712","0.0-3.0-0.38","","fixation","","",""
"3681","a_b montage/ab_188.jpg","78","image-keyboard-response","80","148394","0.0-3.0-1.38","","","Set_2_Only","l","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","81","148895","0.0-3.0-0.39","","fixation","","",""
"3449","a_b montage/ab_099.jpg","76","image-keyboard-response","82","152346","0.0-3.0-1.39","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","83","152847","0.0-3.0-0.40","","fixation","","",""
"1571","a_b montage/ab_127.jpg","76","image-keyboard-response","84","154419","0.0-3.0-1.40","","","Update","b","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","85","154919","0.0-3.0-0.41","","fixation","","",""
